排名,arXiv ID,决策,标题,摘要,推理
13,2602.16958,NO,Automating Agent Hijacking via Structural Template Injection,"Agent hijacking, highlighted by OWASP as a critical threat to the Large Language Model (LLM) ecosystem, enables adversaries to manipulate execution by injecting malicious instructions into retrieved c...",
14,2602.16953,NO,LLM4Cov: Agentic Learning for Testbench Generation,"Execution-aware LLM agents offer a promising paradigm for learning from tool feedback, but such feedback is often expensive and slow to obtain, making online reinforcement learning (RL) impractical. H...",
15,2602.16947,NO,Beyond Message Passing: Graph Learning,"Graph Neural Networks (GNNs) have become essential in high-stakes domains such as drug discovery, yet their black-box nature remains a significant barrier to trustworthiness. While self-explainable GN...",
16,2602.16943,NO,Mind the GAP: Tool-Call Safety in LLM Agents,"Large language models deployed as agents increasingly interact with external systems through tool calls--actions with real-world consequences that text outputs alone do not carry. Safety evaluations, ...",
17,2602.16928,NO,Discovering Multiagent Learning Algorithms with LLMs,Much of the advancement of Multi-Agent Reinforcement Learning (MARL) in imperfect-information games has historically depended on manual iterative refinement of baselines. While foundational families l...,
18,2602.16901,NO,AgentLAB: Benchmarking LLM Agents,"LLM agents are increasingly deployed in long-horizon, complex environments to solve challenging problems, but this expansion exposes them to long-horizon attacks that exploit multi-turn user-agent-env...",
19,2602.16873,NO,AdaptOrch: Multi-Agent Orchestration,"As large language models from diverse providers converge toward comparable benchmark performance, the traditional paradigm of selecting a single best model per task yields diminishing returns. We argu...",
20,2602.16708,NO,Policy Compiler for Secure Agentic Systems,"LLM-based agents are increasingly being deployed in contexts requiring complex authorization policies: customer service protocols, approval workflows, data access restrictions, and regulatory complian...",
21,2602.16699,NO,Calibrate-Then-Act: Exploration in LLM Agents,"LLMs are increasingly being used for complex problems which are not necessarily resolved in a single response, but require interacting with an environment to acquire information. In these scenarios, L...",
22,2602.16666,NO,Towards a Science of AI Agent Reliability,"AI agents are increasingly deployed to execute important tasks. While rising accuracy scores on standard benchmarks suggest rapid progress, many agents still continue to fail in practice. This discrep...",
23,2602.16585,NO,DataJoint 2.0: Agentic Scientific Workflows,Operational rigor determines whether human-agent collaboration succeeds or fails. Scientific data pipelines need the equivalent of DevOps -- SciOps -- yet common approaches fragment provenance across ...,
24,2602.16485,NO,Team of Thoughts: Agentic Systems,"Existing Multi-Agent Systems (MAS) typically rely on static, homogeneous model configurations, limiting their ability to exploit the distinct strengths of differently post-trained models. To address t...",
25,2602.16435,NO,Automated Feature Engineering with Multi-Agent RL,"Automated feature engineering (AFE) enables AI systems to autonomously construct high-utility representations from raw tabular data. However, existing AFE methods rely on statistical heuristics, yield...",
26,2602.16301,NO,Multi-agent cooperation through in-context inference,"Achieving cooperation among self-interested agents remains a fundamental challenge in multi-agent reinforcement learning. Recent work showed that mutual cooperation can be induced between ""learning-aw...",
27,2602.16246,NO,Verifiable Reward for Tool-Calling LLM Agents,Interactive large language model (LLM) agents operating via multi-turn dialogue and multi-step tool calling are increasingly used in production. Benchmarks for these agents must both reliably compare ...,
28,2602.17127,NO,Lab-Driven Alignment Signatures for AI,"As Large Language Models (LLMs) transition from standalone chat interfaces to foundational reasoning layers in multi-agent systems and recursive evaluation loops (LLM-as-a-judge), the detection of dur...",
29,2602.16379,NO,Data Generation Using LLM Agents,We propose an agentic data augmentation method for Aspect-Based Sentiment Analysis (ABSA) that uses iterative generation and verification to produce high quality synthetic training examples. To isolat...,
30,2602.16346,NO,Measuring Illicit Assistance in LLM Agents,LLM-based agents execute real-world workflows via tools and memory. These affordances enable ill-intended adversaries to also use these agents to carry out complex misuse scenarios. Existing agent mis...,
31,2602.16173,NO,Learning Personalized Agents from Human Feedback,"Modern AI agents are powerful but often fail to align with the idiosyncratic, evolving preferences of individual users. Prior approaches typically rely on static datasets, either training implicit pre...",
32,2602.17486,NO,Linear Convergence in Games with Delayed Feedback,"Feedback delays are inevitable in real-world multi-agent learning. They are known to severely degrade performance, and the convergence rate under delayed feedback is still unclear, even for bilinear g...",
33,2602.17068,NO,Hypergraph MARL for Traffic Control,"Human-centric traffic signal control in corridor networks must increasingly account for multimodal travelers, particularly high-occupancy public transportation, rather than focusing solely on vehicle-...",
34,2602.17009,NO,Action-Graph Policies in Multi-Agent RL,Coordinating actions is the most fundamental form of cooperation in multi-agent reinforcement learning (MARL). Successful decentralized decision-making often depends not only on good individual action...,
35,2602.16965,NO,Multi-Agent Lipschitz Bandits,"We study the decentralized multi-player stochastic bandit problem over a continuous, Lipschitz-structured action space where hard collisions yield zero reward. Our objective is to design a communicati...",
36,2602.16564,NO,Simulation-Based Network Security Games,"We introduce MetaDOAR, a lightweight meta-controller that augments the Double Oracle / PSRO paradigm with a learned, partition-aware filtering layer and Q-value caching to enable scalable multi-agent ...",
